Вакансия,Работодатель,Зарплата,Ссылка
C# developer,WiseTech,от 250 000 ₽ на рукиОпыт 3-6 летМожно удалённо,https://tomsk.hh.ru/vacancy/113754718?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,Латат,до 54 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/112470691?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Латат,68 000 – 91 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/112470689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Центр информационных технологий),Томский государственный архитектурно-строительный университет,от 100 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/102320415?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python разработчик,ООО Ракета,Опыт 3-6 летМожно удалённо,https://tomsk.hh.ru/vacancy/114089026?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист Python (автоматизация измерительного оборудования),ООО Унискан-Ризерч,от 150 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/112473794?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ Junior,ООО Интрайс,от 50 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/115003850?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель группы программного обеспечения,Газпром газораспределение Томск,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/111403356?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный администратор/Сетевой инженер,TravelLine,от 250 000 ₽ на рукиОпыт более 6 летМожно удалённо,https://tomsk.hh.ru/vacancy/113058590?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик (middle+),ООО МАГ Девелопмент,Опыт 3-6 летМожно удалённо,https://tomsk.hh.ru/vacancy/107545390?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
